VILLANUEVA,539,"61,883"
ZAMORA,540,"61,729"
PRATT,541,"61,671"
STOKES,542,"61,639"
OWEN,543,"61,630"
BALLARD,544,"61,625"
LANG,545,"61,529"
BROCK,546,"61,369"
VILLARREAL,547,"61,355"
CHARLES,548,"61,211"
DRAKE,549,"61,162"
BARRERA,550,"60,998"
CAIN,551,"60,948"
PATRICK,552,"60,845"
PINEDA,553,"60,820"
BURNETT,554,"60,791"
MERCADO,555,"60,761"
SANTANA,556,"60,667"
SHEPHERD,557,"60,479"
BAUTISTA,558,"60,264"
ALI,559,"60,002"
SHAFFER,560,"59,943"
LAMB,561,"59,913"
TREVINO,562,"59,882"
MCKENZIE,563,"59,595"
HESS,564,"59,486"
BEIL,565,"59,463"
OLSEN,566,"59,356"
COCHRAN,567,"59,350"
MORTON,568,"59,213"
NASH,569,"58,714"
WILKINS,570,"58,634"
PETERSEN,571,"58,480"
BRIGGS,572,"58,408"
SHAH,573,"58,287"
ROTH,574,"58,278"
NICHOLSON,575,"58,151"
HOLLOWAY,576,"58,040"
LOZANO,577,"57,779"
RANGEL,578,"57,549"
FLOWERS,578,"57,549"
HOOVER,580,"57,497"
SHORT,581,"57,477"
ARIAS,581,"57,477"
MORA,583,"57,464"
VALENZUELA,584,"57,383"
BRYAN,585,"57,143"
MEYERS,586,"57,127"
WEISS,587,"57,112"
UNDERWOOD,588,"57,064"
BASS,589,"57,044"
GREER,590,"57,043"
SUMMERS,591,"56,953"
HOUSTON,592,"56,900"
CARSON,593,"56,872"
MORROW,594,"56,840"
CLAYTON,595,"56,638"
WHITAKER,596,"56,616"
DECKER,597,"56,576"
YODER,598,"56,410"
COLLIER,599,"56,380"
ZUNIGA,600,"56,347"
CAREY,601,"56,322"
WILCOX,602,"56,286"
MELENDEZ,603,"56,230"
POOLE,604,"56,226"
ROBERSON,605,"56,180"
LARSEN,606,"55,960"
CONLEY,607,"55,917"
DAVENPORT,608,"55,895"
COPELAND,609,"55,850"
MASSEY,610,"55,595"
LAM,611,"55,554"
HUFF,612,"55,484"
ROCHA,613,"55,251"
CAMERON,614,"55,240"
JEFFERSON,615,"55,179"
HOOD,616,"55,174"
MONROE,617,"55,136"
ANTHONY,618,"55,114"
PITTMAN,619,"55,021"
HUYNH,620,"54,996"
RANDALL,621,"54,764"
SINGLETON,622,"54,621"
KIRK,623,"54,394"
COMBS,624,"54,257"
MATHIS,625,"54,217"
CHRISTIAN,626,"54,198"
SKINNER,627,"54,046"
BRADFORD,628,"54,015"
RICHARD,629,"53,893"
GALVAN,630,"53,822"
WALL,631,"53,794"
BOONE,632,"53,792"
KIRBY,633,"53,767"
WILKINSON,634,"53,739"
BRIDGES,635,"53,682"
BRUCE,636,"53,419"
ATKINSON,637,"53,376"
VELEZ,638,"53,265"
MEZA,639,"53,230"
ROY,640,"53,159"
VINCENT,641,"53,095"
YORK,642,"53,059"
HODGE,643,"52,920"
VILLA,644,"52,817"
ABBOTT,645,"52,739"
ALLISON,646,"52,701"
TAPIA,647,"52,651"
GATES,648,"52,569"
CHASE,649,"52,481"
SOSA,650,"52,457"
SWEENEY,651,"52,410"
FARRELL,652,"52,321"
WYATT,653,"52,211"
DALTON,654,"52,184"
HORN,655,"52,138"
BARRON,656,"52,070"
PHELPS,657,"52,044"
YU,658,"52,035"
DICKERSON,659,"51,889"
HEATH,660,"51,877"
FOLEY,661,"51,865"
ATKINS,662,"51,671"
MATHEWS,663,"51,592"
BONILLA,664,"51,475"
ACEVEDO,665,"51,351"
BENITEZ,666,"51,288"
ZAVALA,667,"51,153"
HENSLEY,668,"51,081"
GLENN,669,"51,043"
CISNEROS,670,"50,920"
HARRELL,671,"50,837"
SHIELDS,672,"50,832"
RUBIO,673,"50,788"
HUFFMAN,674,"50,786"
CHOI,674,"50,786"
BOYER,676,"50,742"
GARRISON,677,"50,686"
ARROYO,678,"50,614"
BOND,679,"50,610"
KANE,680,"50,584"
HANCOCK,681,"50,558"
CALLAHAN,682,"50,524"
DILLON,683,"50,465"
CLINE,684,"50,258"
WIGGINS,685,"50,247"
GRIMES,686,"50,245"
ARELLANO,687,"50,104"
MELTON,688,"50,069"
ONEILL,689,"50,028"
SAVAGE,690,"49,914"
HO,691,"49,817"
BELTRAN,692,"49,776"
PITTS,693,"49,740"
PARRISH,694,"49,733"
PONCE,695,"49,549"
RICH,696,"49,481"
BOOTH,697,"49,402"
KOCH,698,"49,395"
GOLDEN,699,"49,360"
WARE,700,"49,316"
BRENNAN,701,"49,238"
MCDOWELL,702,"49,217"
MARKS,703,"49,177"
CANTU,704,"49,126"
HUMPHREY,705,"49,056"
BAXTER,706,"49,033"
SAWYER,707,"49,028"
CLAY,708,"48,844"
TANNER,709,"48,813"
HUTCHINSON,710,"48,781"
KAUR,711,"48,753"
BERG,712,"48,746"
WILEY,713,"48,720"
GILMORE,714,"48,719"
RUSSO,715,"48,696"
VILLEGAS,716,"48,599"
HOBBS,717,"48,522"
KEITH,718,"48,487"
WILKERSON,719,"48,444"
AHMED,720,"48,319"
BEARD,721,"48,207"
MCCLAIN,722,"48,165"
MONTES,723,"48,142"
MATA,724,"48,120"
ROSARIO,725,"48,051"
VANG,726,"48,036"
WALTER,727,"48,024"
HENSON,728,"48,013"
ONEAL,729,"47,979"
MOSLEY,730,"47,963"
MCCLURE,731,"47,742"
BEASLEY,732,"47,693"
STEPHENSON,733,"47,641"
SNOW,734,"47,528"
HUERTA,735,"47,455"
PRESTON,736,"47,367"
VANCE,737,"47,324"
BARRY,738,"47,274"
JOHNS,739,"47,246"
EATON,740,"47,184"
BLACKWELL,741,"47,175"
DYER,742,"47,170"
PRINCE,743,"47,168"
MACDONALD,744,"46,717"
SOLOMON,745,"46,534"
GUEVARA,746,"46,454"
STAFFORD,747,"46,394"
ENGLISH,748,"46,393"
HURST,749,"46,244"
WOODARD,750,"46,240"
CORTES,751,"46,229"
SHANNON,752,"46,147"
KEMP,753,"46,146"
NOLAN,754,"46,054"
MCCULLOUGH,755,"45,852"
MERRITT,756,"45,594"
MURILLO,757,"45,558"
MOON,758,"45,528"
SALGADO,759,"45,469"
STRONG,760,"45,432"
KLINE,761,"45,390"
CORDOVA,762,"45,305"
BARAJAS,763,"45,153"
ROACH,764,"45,019"
ROSAS,765,"44,938"
WINTERS,766,"44,914"
JACOBSON,767,"44,808"
LESTER,768,"44,784"
KNOX,769,"44,742"
BULLOCK,770,"44,740"
KERR,771,"44,711"
LEACH,772,"44,581"
MEADOWS,773,"44,500"
ORR,774,"44,388"
DAVILA,774,"44,388"
WHITEHEAD,776,"44,373"
PRUITT,777,"44,365"
KENT,778,"44,325"
CONWAY,779,"44,320"
MCKEE,780,"44,137"
BARR,781,"44,130"
DAVID,782,"44,040"
DEJESUS,783,"44,038"
MARIN,784,"43,904"
BERGER,785,"43,851"
MCINTYRE,786,"43,842"
BLANKENSHIP,787,"43,830"
GAINES,788,"43,821"
PALACIOS,789,"43,798"
CUEVAS,790,"43,701"
BARTLETT,791,"43,648"
DURHAM,792,"43,635"
DORSEY,793,"43,631"
MCCALL,794,"43,483"
ODONNELL,795,"43,460"
STEIN,796,"43,389"
BROWNING,797,"43,329"
STOUT,798,"43,305"
LOWERY,799,"43,278"
SLOAN,800,"43,261"
MCLEAN,801,"43,260"
HENDRICKS,802,"43,197"
CALHOUN,803,"43,180"
SEXTON,804,"43,133"
CHUNG,805,"43,110"
GENTRY,806,"43,027"
HULL,807,"43,018"
DUARTE,808,"42,983"
ELLISON,809,"42,827"
NIELSEN,810,"42,773"
GILLESPIE,811,"42,693"
BUCK,812,"42,639"
MIDDLETON,813,"42,578"
SELLERS,814,"42,577"
LEBLANC,815,"42,575"
ESPARZA,816,"42,559"
HARDIN,817,"42,469"
BRADSHAW,818,"42,465"
MCINTOSH,819,"42,379"
HOWE,820,"42,265"
LIVINGSTON,821,"42,103"
FROST,822,"42,015"
GLASS,823,"41,802"
